,key,number,name,Event_1_Week,Event_1_Key,Event_1_fused,Event_2_Week,Event_2_Key,Event_2_fused,EPA,Win_Rate,EPA_Rank,EPA_Percentile
207,frc5225,5225,The Shambotz,2.0,mibkn,2mibkn,4.0,mimcc,4mimcc,4.61,0.375,488,0.045
208,frc5227,5227,Eagle Elite,2.0,miber,2miber,1.0,misjo,1misjo,17.35,0.431,210,0.589
209,frc5229,5229,Heritage Hawkbots,4.0,mimid,4mimid,1.0,mimtp,1mimtp,14.06,0.4559,265,0.4814
210,frc5231,5231,The Radical Jays,4.0,mimid,4mimid,1.0,mimtp,1mimtp,10.71,0.3333,333,0.3483
211,frc5234,5234,MarauderBots,2.0,mibkn,2mibkn,0.0,miket,0miket,12.13,0.3167,299,0.4149
212,frc5235,5235,Gears of Fortune,0.0,miket,0miket,3.0,mitry,3mitry,6.43,0.2917,454,0.1115
213,frc5239,5239,Harper Woods Steamworks,2.0,mibel,2mibel,4.0,mimcc,4mimcc,3.26,0.3125,503,0.0157
214,frc5247,5247,Red Devil Robotics,1.0,miesc,1miesc,2.0,mitvc,2mitvc,11.02,0.375,325,0.364
215,frc5248,5248,Robo-Saxons,0.0,mibat,0mibat,3.0,miwmi,3miwmi,11.44,0.4259,317,0.3796
216,frc5256,5256,Atomics,4.0,miken,4miken,3.0,miwmi,3miwmi,23.85,0.5333,119,0.7671
217,frc5260,5260,Owosso Robotics,4.0,miken,4miken,0.0,miket,0miket,7.41,0.3125,429,0.1605
218,frc5263,5263,Robo-Bucs,2.0,mibel,2mibel,3.0,mibro,3mibro,4.33,0.3958,492,0.0372
219,frc5282,5282,Railroader Robotics,0.0,miket,0miket,3.0,mitry,3mitry,15.47,0.3462,237,0.5362
220,frc5314,5314,Ice Bots,3.0,milsu,3milsu,1.0,mimtp,1mimtp,13.12,0.5714,285,0.4423
221,frc5352,5352,Controlled Chaos,3.0,mimas,3mimas,1.0,mimtp,1mimtp,0.0,0.0,0,0.0
222,frc5424,5424,Rogue Robots,4.0,mimid,4mimid,2.0,mitvc,2mitvc,23.9,0.5,118,0.7691
223,frc5436,5436,Cyber Cats,0.0,mifer,0mifer,3.0,mitry,3mitry,40.28,0.7097,13,0.9746
224,frc5460,5460,Strike Zone,0.0,miket,0miket,3.0,misal,3misal,45.26,0.642,3,0.9941
225,frc5462,5462,2Paw Robotics,2.0,miber,2miber,4.0,mibig,4mibig,17.49,0.4194,208,0.593
226,frc5467,5467,RoboTractors,0.0,mifer,0mifer,4.0,mimcc,4mimcc,5.45,0.4167,471,0.0783
227,frc5470,5470,The Cowpunchers,4.0,miken,4miken,3.0,miwmi,3miwmi,9.87,0.375,360,0.2955
228,frc5478,5478,Pershing Doughbots,2.0,midtr,2midtr,3.0,mitry,3mitry,7.61,0.4167,423,0.1722
229,frc548,548,Robostangs,2.0,mibkn,2mibkn,0.0,mimil,0mimil,32.76,0.5741,42,0.9178
230,frc5486,5486,Robotic Turmoil,1.0,miesc,1miesc,3.0,milsu,3milsu,13.65,0.4667,274,0.4638
231,frc5498,5498,The Wired Devils,2.0,mibel,2mibel,0.0,mifer,0mifer,10.83,0.4167,331,0.3523
232,frc5501,5501,Bobcats,0.0,mibat,0mibat,3.0,milsu,3milsu,18.31,0.5938,189,0.6301
